title, title_normalized
"New Star in the Sky (Chanson Pour Solal)","New Star In The Sky Chanson Pour Solal"
"Once upon a time","once upon a time"
"Once Upon a Time","Once Upon A Time"
"One Hell Of A Party","Hell Of A Party"
"People in The City","People in the City"
"People In the City","People in the City"
"Playground Love (Live)","Playground Love"
"Radio","Radio #1"
"So Light is Her Footfall","So Light Is Her Footfall"
"Somewhere Between Waking and Sleeping (feat. Nail Hannon)","Somewhere Between Waking and Sleeping"
"Surfing On a Rocket","Surfing on a Rocket"
"Surfing on a Rocket (edit)","Surfing on a Rocket"
"This The Night","This Night"
"You Make it Easy","You Make It Easy"
"I Hate Milk (re-mix)","I Hate Milk"
"Dont Be Afraid, Your'e Already Dead","Don't Be Afraid, You're Already Dead"
"Everyone is Guilty","Everyone Is Guilty"
"I'Ve Got Some Friends","I've Got Some Friends"
"Love Love Love 2","Love Love Love 2 (Reprise)"
